Nombre,CIF,Es Factura,Total,Invoice Num,Fecha,IVA 1,IVA 2
ticket1085.json,A28670396,No,0,NaN,28/06/2019,21,NaN
ticket1086.json,NaN,No,90,imptoesa78320736,28/06/2019,NaN,NaN
ticket1087.json,B18905182,No,4.95,arigofrecidoporbccescom,28/06/2018,21,NaN
ticket1088.json,B18785501,Si,90,reimprimir1,28/06/2019,10,NaN
ticket1089.json,NaN,No,10.4,NaN,25/06/2019,21,NaN
ticket109.json,NaN,No,2,NaN,18/12/2016,21,NaN
ticket1090.json,NaN,No,21,NaN,24/06/2019,21,NaN
ticket1091.json,NaN,No,90,pedido45157311,Invalid date,NaN,NaN
ticket1092.json,NaN,No,90,NaN,Invalid date,NaN,NaN
ticket1093.json,NaN,No,90,pedido45076434,Invalid date,NaN,NaN
ticket1094.json,NaN,No,10,NaN,17/06/2019,NaN,NaN
ticket1095.json,A28354520,No,4003,NaN,14/06/2019,10,NaN
ticket1096.json,NaN,No,11.99,44868065,20/03/2020,NaN,NaN
ticket1097.json,A82492729,No,0,NaN,12/06/2019,21,NaN
ticket1098.json,NaN,No,7.49,seadmitevolucionescon,Invalid date,4,NaN
ticket1099.json,NaN,No,15.7,seadmitevolucionescon,Invalid date,4,NaN
ticket11.json,A19025576,No,59.65,simplificadafecha1527,27/12/2019,10,NaN
ticket110.json,B40245862,Si,70,c/colo5,23/11/2019,10,NaN
ticket1100.json,A28670396,No,0,NaN,07/06/2019,21,NaN
ticket1103.json,NaN,No,90,imptoesa78320736,07/06/2019,10,NaN
ticket1104.json,NaN,No,11.95,NaN,04/06/2019,NaN,NaN
ticket1105.json,A28670396,No,0,NaN,02/06/2019,21,NaN
ticket1106.json,NaN,No,0,NaN,20/03/2020,NaN,NaN
ticket1107.json,NaN,No,90,NaN,Invalid date,NaN,NaN
ticket1108.json,NaN,No,90,pedido44157213,Invalid date,NaN,NaN
ticket111.json,B18905182,Si,130,NaN,Invalid date,10,NaN
ticket1110.json,NaN,No,10,NaN,27/05/2019,4,NaN
ticket1111.json,NaN,No,1,bk19763cifb-49210743,27/05/2012,10,NaN
ticket1112.json,B19554427,No,14.2,NaN,24/05/2019,NaN,NaN
ticket1113.json,NaN,Si,2.35,Tarifa:,24/05/2019,21,NaN
ticket1114.json,B91807164,No,3.73,NaN,11/11/2011,NaN,NaN
ticket1115.json,NaN,No,10,NaN,23/05/2019,10,NaN
ticket1116.json,NaN,No,21.8,NaN,Invalid date,NaN,NaN
ticket1117.json,NaN,No,1.229,NaN,21/05/2019,21,NaN
ticket1118.json,NaN,No,90,arigofrecidoporvoccescom,21/05/2019,NaN,NaN
ticket1119.json,B06473581,No,10,NaN,21/05/2019,10,NaN
ticket112.json,NaN,No,0.165,NaN,04/12/2019,NaN,NaN
ticket1120.json,NaN,No,18,NaN,21/05/2019,NaN,NaN
ticket1121.json,NaN,No,0,imptoesa78320736,12/07/2019,NaN,NaN
ticket1122.json,NaN,No,3.5,NaN,12/07/2019,NaN,NaN
ticket1123.json,B18410209,No,11.7,serie/,12/07/2019,10,NaN
ticket1124.json,NaN,No,7.99,esteesecesarioparacualquier,Invalid date,NaN,NaN
ticket1126.json,NaN,No,6,NaN,10/06/2019,NaN,NaN
ticket1127.json,B19589647,No,6.3,NaN,11/07/2019,21,NaN
ticket1128.json,NaN,No,2.05,NaN,10/07/2019,21,NaN
ticket1129.json,NaN,No,8331,NaN,Invalid date,NaN,NaN
ticket113.json,NaN,Si,5.05,fecha,05/12/2019,NaN,NaN
ticket1130.json,NaN,No,8331,NaN,10/07/2019,NaN,NaN
ticket1138.json,B19530914,No,231.8,fhtd-d-08650,10/07/2019,NaN,NaN
ticket1139.json,NaN,No,10,NaN,20/03/2020,4,NaN
ticket114.json,NaN,No,12.5,NaN,06/12/2019,NaN,NaN
ticket1142.json,NaN,No,14.99,NaN,06/07/2019,21,NaN
ticket1143.json,NaN,No,21,esteesecesarioparacualquier,Invalid date,NaN,NaN
ticket1144.json,NaN,No,0,NaN,21/06/2020,NaN,NaN
ticket1145.json,NaN,No,29.6,MESA MOB,05/07/2019,NaN,NaN
ticket115.json,NaN,No,1492,imprescidiblecompra,06/12/2019,NaN,NaN
ticket1150.json,NaN,Si,21,NaN,Invalid date,NaN,NaN
ticket1151.json,NaN,No,7.99,esteesecesarioparacualquier,Invalid date,NaN,NaN
ticket1152.json,NaN,No,4662037588,operació,20/06/2019,21,NaN
ticket1153.json,NaN,No,7.45,NaN,27/05/2019,NaN,NaN
ticket1154.json,A28670396,No,12.55,NaN,27/06/2019,21,NaN
ticket1155.json,NaN,No,12.99,coservesuparacualquier,25/06/2019,21,NaN
ticket1156.json,NaN,No,5351209010,operació,19/06/2019,21,NaN
ticket1157.json,NaN,No,7.99,esteesecesarioparacualquier,Invalid date,NaN,NaN
ticket1158.json,NaN,No,7.99,esteesecesarioparacualquier,Invalid date,NaN,NaN
ticket116.json,NaN,No,11.4,11,05/12/2019,10,NaN
ticket1160.json,A82492729,No,0,NaN,30/06/2019,21,NaN
ticket1161.json,NaN,No,8984,NaN,30/06/2019,NaN,NaN
ticket1162.json,NaN,No,4.65,NaN,30/06/2019,NaN,NaN
ticket1163.json,NaN,Si,107.31,Invoice Number,29/05/2019,NaN,NaN
ticket1164.json,NaN,No,20.4,89733tarifa:mesasmesa:7,07/05/2019,NaN,NaN
ticket1165.json,B09315250,No,132.7,NaN,28/05/2019,10,NaN
ticket1166.json,B18410209,No,39.9,serie/,27/05/2019,10,NaN
ticket1167.json,NaN,No,57.1,NaN,07/05/2019,NaN,NaN
ticket1168.json,A82492729,No,0,NaN,06/05/2019,21,NaN
ticket117.json,NaN,No,9.15,imptoesb-41014028,13/12/2019,NaN,NaN
ticket1170.json,B18905182,Si,2.5,NaN,Invalid date,10,NaN
ticket1171.json,B18905182,Si,22.8,comesales2,Invalid date,10,NaN
ticket1172.json,B18905182,No,42.2,comesales1,17/09/2005,10,NaN
ticket1173.json,NaN,No,0.8,a/95294,10/05/2019,NaN,NaN
ticket1174.json,NaN,No,8984,NaN,06/05/2019,NaN,NaN
ticket1175.json,NaN,No,8984,NaN,06/05/2019,NaN,NaN
ticket1176.json,B18905182,Si,21.8,comesales1,02/12/2005,10,NaN
ticket1177.json,A13048434,No,6.5,NaN,20/03/2020,10,NaN
ticket1178.json,B19649144,No,23,NaN,03/05/2019,10,NaN
ticket1179.json,A82492729,No,0,NaN,12/05/2019,21,NaN
ticket118.json,NaN,No,12.4,NaN,Invalid date,10,NaN
